min,stage_default,stage_2d_capture,stage_inlet_fixed,ws_2d_capture,ws_default,ws_inlet_fixed,flow_inlet_fixed,flow_inlet_2d_capture,ws_inlet_2d_capture,ws_inlet_fixed_node,ws_inlet_2d_capture_node
129,88.297,87.442,90.717,90.703,90.7,90.717,5,8.053,90.703,90.711,90.703
130,88.35,87.49,90.722,90.709,90.706,90.722,5,8.147,90.708,90.717,90.708
131,88.404,87.538,90.728,90.714,90.711,90.728,5,8.24,90.714,90.722,90.714
132,88.458,87.587,90.734,90.72,90.717,90.734,5,8.334,90.719,90.728,90.719
133,88.512,87.636,90.739,90.725,90.722,90.739,5,8.427,90.725,90.734,90.725
134,88.567,87.686,90.745,90.731,90.728,90.745,5,8.52,90.73,90.739,90.73
135,88.622,87.736,90.75,90.736,90.733,90.75,5,8.615,90.736,90.745,90.735
136,88.677,87.787,90.756,90.742,90.739,90.756,5,8.708,90.741,90.751,90.741
137,88.733,87.839,90.761,90.747,90.745,90.761,5,8.805,90.746,90.756,90.746
138,88.789,87.891,90.767,90.752,90.75,90.767,5,8.902,90.752,90.762,90.752
139,88.846,87.944,90.772,90.758,90.756,90.772,5,8.998,90.757,90.768,90.757
140,88.903,87.997,90.778,90.763,90.761,90.778,5,9.095,90.763,90.773,90.763
141,88.961,88.051,90.783,90.769,90.767,90.784,5,9.192,90.768,90.779,90.768
142,89.019,88.105,90.789,90.774,90.772,90.789,5,9.288,90.774,90.784,90.774
143,89.077,88.16,90.795,90.78,90.778,90.795,5,9.385,90.779,90.79,90.779
144,89.136,88.216,90.8,90.785,90.784,90.8,5,9.482,90.785,90.796,90.785
145,89.196,88.272,90.806,90.791,90.789,90.806,5,9.579,90.79,90.801,90.79
146,89.255,88.329,90.811,90.796,90.795,90.811,5,9.678,90.796,90.807,90.796
147,89.315,88.386,90.817,90.802,90.8,90.817,5,9.778,90.801,90.812,90.801
148,89.376,88.444,90.822,90.807,90.806,90.822,5,9.878,90.807,90.818,90.807
149,89.437,88.503,90.828,90.813,90.811,90.828,5,9.978,90.812,90.824,90.812
150,89.498,88.562,90.833,90.818,90.817,90.834,5,10.077,90.817,90.829,90.818
151,89.56,88.621,90.839,90.824,90.823,90.839,5,10.177,90.823,90.835,90.823
152,89.622,88.682,90.845,90.829,90.828,90.845,5,10.277,90.829,90.84,90.828
153,89.685,88.743,90.85,90.835,90.834,90.85,5,10.376,90.834,90.846,90.834
154,89.748,88.804,90.856,90.84,90.839,90.856,5,10.476,90.839,90.852,90.839
155,89.812,88.866,90.861,90.845,90.845,90.861,5,10.579,90.845,90.857,90.845
156,89.876,88.929,90.867,90.851,90.85,90.867,5,10.681,90.85,90.863,90.85
157,89.94,88.992,90.872,90.856,90.856,90.872,5,10.784,90.856,90.869,90.856
158,90.898,89.056,90.878,90.862,90.896,90.878,5,10.886,90.861,90.874,90.861
159,90.909,89.121,90.883,90.867,90.909,90.883,5,10.99,90.867,90.88,90.867
160,90.915,89.186,90.889,90.873,90.915,90.889,5,11.092,90.872,90.885,90.872
161,90.913,89.252,90.895,90.878,90.914,90.894,5,11.194,90.878,90.891,90.878
162,90.914,89.318,90.9,90.884,90.915,90.9,5,11.297,90.883,90.897,90.883
163,90.919,89.385,90.906,90.889,90.92,90.906,5,11.4,90.889,90.902,90.889
164,90.921,89.453,90.911,90.895,90.921,90.911,5,11.505,90.894,90.908,90.894
165,90.926,89.521,90.917,90.9,90.926,90.917,5,11.61,90.9,90.913,90.9
166,90.932,89.59,90.922,90.906,90.932,90.922,5,11.716,90.905,90.919,90.905
167,90.935,89.659,90.928,90.911,90.935,90.928,5,11.822,90.91,90.924,90.911
168,90.942,89.73,90.933,90.916,90.942,90.933,5,11.928,90.916,90.93,90.916
169,90.948,89.8,90.939,90.922,90.948,90.939,5,12.033,90.921,90.936,90.921
170,90.952,89.872,90.944,90.927,90.952,90.945,5,12.139,90.927,90.941,90.927
171,90.959,89.944,90.95,90.933,90.959,90.95,5,12.244,90.932,90.947,90.932
172,90.963,90.958,90.956,90.958,90.963,90.956,5,12.349,90.938,90.952,90.938
173,90.964,90.98,90.961,90.981,90.964,90.961,5,12.457,90.943,90.958,90.943
174,90.966,90.976,90.967,90.976,90.965,90.967,5,12.565,90.949,90.964,90.949
175,90.966,90.967,90.972,90.966,90.966,90.972,5,12.674,90.954,90.969,90.954
176,90.967,90.976,90.978,90.977,90.967,90.978,5,12.782,90.96,90.975,90.96
177,90.972,90.987,90.983,90.987,90.973,90.983,5,12.891,90.965,90.98,90.965
178,90.986,90.994,90.989,90.995,90.986,90.989,5,12.999,90.971,90.986,90.971
,,90.996,,90.996,91.002,90.995,5,13.108,90.976,90.992,90.976
,,90.996,,0,0,0,5,13.108,0,90.992,90.976
